overall,potential,age,height_cm,weight_kg,nationality_name,club_name,value_eur,wage_eur,preferred_foot,player_positions,short_name
93,93,34,170,72,Argentina,Paris Saint-Germain,78000000.0,320000.0,Left,"RW, ST, CF",L. Messi
92,92,32,185,81,Poland,FC Bayern München,119500000.0,270000.0,Right,ST,R. Lewandowski
91,91,36,187,83,Portugal,Manchester United,45000000.0,270000.0,Right,"ST, LW",Cristiano Ronaldo
91,91,29,175,68,Brazil,Paris Saint-Germain,129000000.0,270000.0,Right,"LW, CAM",Neymar Jr
91,91,30,181,70,Belgium,Manchester City,125500000.0,350000.0,Right,"CM, CAM",K. De Bruyne
91,93,28,188,87,Slovenia,Atlético de Madrid,112000000.0,130000.0,Right,GK,J. Oblak
91,95,22,182,73,France,Paris Saint-Germain,194000000.0,230000.0,Right,"ST, LW",K. Mbappé
90,90,35,193,93,Germany,FC Bayern München,13500000.0,86000.0,Right,GK,M. Neuer
90,92,29,187,85,Germany,FC Barcelona,99000000.0,250000.0,Right,GK,M. ter Stegen
90,90,27,188,89,England,Tottenham Hotspur,129500000.0,240000.0,Right,ST,H. Kane
90,90,30,168,70,France,Chelsea,100000000.0,230000.0,Right,"CDM, CM",N. Kanté
89,89,33,185,81,France,Real Madrid CF,66000000.0,350000.0,Right,"CF, ST",K. Benzema
89,91,29,199,96,Belgium,Real Madrid CF,85500000.0,250000.0,Left,GK,T. Courtois
89,89,28,183,78,Korea Republic,Tottenham Hotspur,104000000.0,220000.0,Right,"LM, CF, LW",H. Son
89,89,29,185,84,Brazil,Real Madrid CF,88000000.0,310000.0,Right,CDM,Casemiro
89,89,29,193,92,Netherlands,Liverpool,86000000.0,230000.0,Right,CB,V. van Dijk
89,89,29,175,69,Senegal,Liverpool,101000000.0,270000.0,Right,LW,S. Mané
89,89,29,175,71,Egypt,Liverpool,101000000.0,270000.0,Left,RW,M. Salah
89,91,27,188,86,Brazil,Manchester City,94000000.0,200000.0,Left,GK,Ederson
89,90,26,177,75,Germany,FC Bayern München,108000000.0,160000.0,Right,"CDM, RB",J. Kimmich
89,90,28,191,91,Brazil,Liverpool,82000000.0,190000.0,Right,GK,Alisson
89,93,22,196,90,Italy,Paris Saint-Germain,119500000.0,110000.0,Right,GK,G. Donnarumma
88,88,35,184,82,Spain,Paris Saint-Germain,24000000.0,115000.0,Right,CB,Sergio Ramos
88,88,34,182,83,Uruguay,Atlético de Madrid,44500000.0,135000.0,Right,ST,L. Suárez
88,88,31,183,76,Germany,Real Madrid CF,75000000.0,310000.0,Right,CM,T. Kroos
88,88,28,191,94,Belgium,Chelsea,93500000.0,260000.0,Left,ST,R. Lukaku
88,88,34,185,80,Costa Rica,Paris Saint-Germain,15500000.0,130000.0,Right,GK,K. Navas
88,89,26,170,69,England,Manchester City,107500000.0,290000.0,Right,"LW, RW",R. Sterling
88,89,26,179,69,Portugal,Manchester United,107500000.0,250000.0,Right,CAM,Bruno Fernandes
88,93,20,194,94,Norway,Borussia Dortmund,137500000.0,110000.0,Left,ST,E. Haaland
87,87,33,173,70,Argentina,FC Barcelona,51000000.0,260000.0,Right,ST,S. Agüero
87,87,34,188,82,France,Tottenham Hotspur,13500000.0,125000.0,Left,GK,H. Lloris
87,87,35,172,66,Croatia,Real Madrid CF,32000000.0,190000.0,Right,CM,L. Modrić
87,87,33,180,69,Argentina,Paris Saint-Germain,49500000.0,160000.0,Left,"RW, LW",Á. Di María
87,87,31,195,90,Poland,Juventus,42000000.0,105000.0,Right,GK,W. Szczęsny
87,87,31,185,76,Germany,FC Bayern München,66000000.0,140000.0,Right,"CAM, RM, RW",T. Müller
87,87,31,185,85,Italy,Lazio,67500000.0,125000.0,Right,ST,C. Immobile
87,87,28,191,84,France,Manchester United,79500000.0,220000.0,Right,"CM, LM",P. Pogba
87,87,28,165,60,Italy,Paris Saint-Germain,79500000.0,155000.0,Right,"CM, CAM",M. Verratti
87,90,27,183,75,Brazil,Paris Saint-Germain,90500000.0,135000.0,Right,"CB, CDM",Marquinhos
87,88,26,189,82,Germany,FC Bayern München,93000000.0,140000.0,Right,"CM, CDM",L. Goretzka
87,88,27,177,75,Argentina,Juventus,93000000.0,160000.0,Left,"CF, CAM",P. Dybala
87,88,27,178,64,Scotland,Liverpool,83500000.0,175000.0,Left,LB,A. Robertson
87,92,24,180,74,Netherlands,FC Barcelona,119500000.0,210000.0,Right,"CM, CDM, CB",F. de Jong
87,92,22,180,69,England,Liverpool,114000000.0,150000.0,Right,RB,T. Alexander-Arnold
87,91,21,180,76,England,Manchester United,116500000.0,150000.0,Right,"RM, CF, LM",J. Sancho
87,91,24,187,82,Portugal,Manchester City,102500000.0,170000.0,Right,CB,Rúben Dias
86,86,36,187,85,Italy,Juventus,12000000.0,88000.0,Left,CB,G. Chiellini
86,86,36,193,92,Slovenia,Inter,7500000.0,78000.0,Right,GK,S. Handanovič
86,86,32,191,96,Germany,Borussia Dortmund,44000000.0,95000.0,Right,CB,M. Hummels
86,86,32,170,68,Spain,FC Barcelona,47000000.0,200000.0,Left,"LB, LM",Jordi Alba
86,86,30,174,70,Spain,Liverpool,65000000.0,180000.0,Right,"CM, CDM",Thiago
86,86,32,189,76,Spain,FC Barcelona,45000000.0,200000.0,Right,"CDM, CM",Sergio Busquets
86,86,32,182,74,Spain,Villarreal CF,53500000.0,64000.0,Right,CM,Parejo
86,87,29,197,86,Belgium,VfL Wolfsburg,52000000.0,88000.0,Left,GK,K. Casteels
86,86,30,163,59,Italy,Napoli,65500000.0,125000.0,Right,"LW, CF",L. Insigne
86,86,30,187,89,Senegal,Napoli,55500000.0,105000.0,Right,CB,K. Koulibaly
86,88,28,191,81,France,Manchester United,68500000.0,180000.0,Right,CB,R. Varane
86,86,30,179,67,Algeria,Manchester City,65500000.0,220000.0,Left,"RW, RM",R. Mahrez
86,86,29,180,77,Spain,Villarreal CF,68000000.0,73000.0,Left,"ST, RM, RW",Gerard Moreno
86,86,34,179,74,England,Leicester City,33000000.0,180000.0,Right,ST,J. Vardy
86,88,27,188,78,Brazil,Liverpool,73500000.0,165000.0,Right,"CDM, CB",Fabinho
86,87,27,182,74,Portugal,Manchester City,71500000.0,185000.0,Right,"RB, LB",João Cancelo
86,89,27,191,85,Spain,Manchester City,77000000.0,185000.0,Left,CB,A. Laporte
86,87,25,180,76,France,FC Bayern München,81000000.0,120000.0,Right,"LM, RM, LW",K. Coman
86,87,26,173,64,Portugal,Manchester City,80000000.0,200000.0,Left,"CAM, CM, RW",Bernardo Silva
86,89,26,184,74,Spain,Atlético de Madrid,88000000.0,95000.0,Right,"CM, RM, ST",Marcos Llorente
86,89,25,191,82,Spain,Manchester City,81000000.0,175000.0,Right,CDM,Rodri
86,88,26,188,80,Slovakia,Inter,74000000.0,150000.0,Right,CB,M. Škriniar
85,85,33,167,68,Argentina,Sevilla FC,33500000.0,51000.0,Right,"CAM, CF, CM",A. Gómez
85,85,34,189,89,Denmark,Leicester City,9000000.0,115000.0,Right,GK,K. Schmeichel
85,85,36,183,79,Brazil,Chelsea,9500000.0,105000.0,Right,CB,Thiago Silva
85,85,35,173,67,Spain,Real Sociedad,22000000.0,44000.0,Left,"CAM, CM",David Silva
85,85,32,183,79,Switzerland,Borussia Mönchengladbach,26500000.0,40000.0,Right,GK,Y. Sommer
85,85,34,185,77,Uruguay,Manchester United,26000000.0,190000.0,Right,ST,E. Cavani
85,85,30,175,74,Belgium,Real Madrid CF,52000000.0,240000.0,Right,LW,E. Hazard
85,85,34,190,85,Italy,Juventus,17500000.0,110000.0,Right,CB,L. Bonucci
85,85,31,191,86,Hungary,RB Leipzig,28500000.0,87000.0,Right,GK,P. Gulácsi
85,85,30,180,80,Germany,Manchester City,51500000.0,185000.0,Right,"CM, CDM",İ. Gündoğan
85,85,32,180,71,Germany,Borussia Dortmund,43000000.0,95000.0,Right,"CAM, CF",M. Reus
85,85,31,183,83,England,Manchester City,39000000.0,170000.0,Right,RB,K. Walker
85,85,32,187,80,Gabon,Arsenal,43500000.0,145000.0,Right,"ST, LW, LM",P. Aubameyang
85,85,29,176,75,Spain,Atlético de Madrid,52500000.0,90000.0,Right,"CM, CDM",Koke
85,85,30,176,73,France,Atlético de Madrid,53000000.0,220000.0,Left,"ST, LW, RW",A. Griezmann
85,85,29,189,78,Netherlands,Inter,45000000.0,145000.0,Right,CB,S. de Vrij
85,85,29,181,76,Brazil,Liverpool,54000000.0,185000.0,Right,CF,Roberto Firmino
85,86,27,176,78,Netherlands,FC Barcelona,63000000.0,220000.0,Right,"CF, LW, CAM",M. Depay
85,85,29,173,73,Spain,Real Madrid CF,47500000.0,210000.0,Right,RB,Carvajal
85,85,29,180,68,Italy,Chelsea,52500000.0,170000.0,Right,"CM, CDM",Jorginho
85,86,25,176,77,Germany,FC Bayern München,64500000.0,110000.0,Right,"RM, LM, RW",S. Gnabry
85,87,26,191,76,Serbia,Lazio,66000000.0,100000.0,Right,"CM, CDM, CAM",S. Milinković-Savić
85,88,24,183,74,Nigeria,Leicester City,66500000.0,120000.0,Right,"CDM, CM",W. Ndidi
85,89,24,181,79,Spain,Real Sociedad,77500000.0,57000.0,Left,"LW, RW",Oyarzabal
85,89,23,174,72,Argentina,Inter,78000000.0,145000.0,Right,ST,L. Martínez
85,89,23,186,70,England,Manchester United,77500000.0,150000.0,Right,"LM, ST",M. Rashford
85,88,22,181,73,Morocco,Paris Saint-Germain,69500000.0,100000.0,Right,"RB, RWB",A. Hakimi
85,90,21,189,89,Netherlands,Juventus,75000000.0,81000.0,Right,CB,M. de Ligt
84,84,39,195,95,Sweden,AC Milan,14500000.0,51000.0,Right,ST,Z. Ibrahimović
84,84,35,172,60,Spain,Sevilla FC,13000000.0,30000.0,Right,"RB, RM",Jesús Navas
84,84,34,194,85,Spain,FC Barcelona,13500000.0,175000.0,Right,CB,Piqué
84,84,34,169,61,Belgium,Napoli,20500000.0,105000.0,Right,"CF, ST, CAM",D. Mertens
84,84,30,175,74,Netherlands,Paris Saint-Germain,40500000.0,115000.0,Right,"CM, CDM",G. Wijnaldum
84,84,31,182,80,England,Liverpool,29500000.0,140000.0,Right,"CDM, CM",J. Henderson
84,84,33,183,76,Brazil,Sevilla FC,21000000.0,43000.0,Right,"CDM, CM",Fernando
84,84,30,173,69,England,Atlético de Madrid,36500000.0,74000.0,Right,"RB, RWB, RM",K. Trippier
84,84,33,176,67,Spain,RC Celta de Vigo,27000000.0,46000.0,Left,"ST, RW",Iago Aspas
84,84,30,192,82,Spain,Manchester United,28000000.0,120000.0,Right,GK,De Gea
84,84,29,180,78,Austria,Real Madrid CF,35500000.0,195000.0,Left,"CB, LB",D. Alaba
84,84,28,183,74,Spain,Lazio,42500000.0,95000.0,Right,"CAM, CM, CF",Luis Alberto
84,84,32,181,76,Serbia,Ajax,33500000.0,32000.0,Left,"LW, CF, CAM",D. Tadić
84,84,30,170,68,France,AS Monaco,41500000.0,88000.0,Right,ST,W. Ben Yedder
84,84,27,178,74,France,Everton,40500000.0,110000.0,Left,LB,L. Digne
84,84,33,190,79,Slovenia,Atalanta,27000000.0,84000.0,Left,"CF, ST",J. Iličić
84,85,28,195,88,Argentina,Aston Villa,33500000.0,81000.0,Right,GK,E. Martínez
84,86,28,194,100,England,Manchester United,42500000.0,155000.0,Right,CB,H. Maguire
84,84,30,187,80,Montenegro,Atlético de Madrid,34500000.0,74000.0,Right,CB,S. Savić
84,85,27,178,76,Austria,FC Bayern München,48000000.0,110000.0,Right,"CM, CDM, CAM",M. Sabitzer
84,86,25,181,75,England,Manchester United,48500000.0,140000.0,Left,LB,L. Shaw
84,85,25,180,81,England,Manchester City,50500000.0,180000.0,Right,"LW, LM, CAM",J. Grealish
84,85,27,191,86,Germany,Borussia Mönchengladbach,42500000.0,45000.0,Right,CB,M. Ginter
84,84,32,190,84,Brazil,Atlético de Madrid,27500000.0,74000.0,Right,CB,Felipe
84,84,27,185,73,Belgium,Atlético de Madrid,45000000.0,81000.0,Right,"LM, ST",Y. Carrasco
84,84,28,184,82,Serbia,Eintracht Frankfurt,42500000.0,52000.0,Left,"LM, LWB",F. Kostić
84,84,28,181,65,Morocco,Chelsea,42500000.0,170000.0,Left,"RW, CAM",H. Ziyech
84,84,27,170,71,Portugal,Borussia Dortmund,40500000.0,79000.0,Left,"LB, LM",R. Guerreiro
84,84,27,175,70,Portugal,Leicester City,40500000.0,130000.0,Right,"RB, RM",Ricardo Pereira
84,87,25,180,76,Germany,Chelsea,56500000.0,155000.0,Right,"ST, LW",T. Werner
84,89,25,191,89,France,AC Milan,49500000.0,45000.0,Right,GK,M. Maignan
84,84,28,181,68,Croatia,Inter,37000000.0,130000.0,Right,"CDM, CM",M. Brozović
84,87,24,176,72,Belgium,Leicester City,57000000.0,125000.0,Right,"CM, CDM",Y. Tielemans
84,88,26,185,79,Uruguay,Atlético de Madrid,52000000.0,74000.0,Right,CB,J. Giménez
84,84,27,173,75,France,Real Betis Balompié,45000000.0,42000.0,Left,"CAM, RM, ST",N. Fekir
84,87,25,183,80,Germany,FC Bayern München,56000000.0,105000.0,Left,"RM, LM",L. Sané
84,89,24,172,68,Italy,Inter,63500000.0,120000.0,Right,CM,N. Barella
84,84,29,172,69,Argentina,Sevilla FC,37000000.0,45000.0,Left,"LB, LM",M. Acuña
84,85,25,185,84,Portugal,RB Leipzig,51000000.0,110000.0,Right,ST,André Silva
84,86,24,183,88,Côte d'Ivoire,AC Milan,49500000.0,51000.0,Right,"CDM, CM",F. Kessié
84,90,23,184,81,France,AC Milan,62500000.0,51000.0,Left,LB,T. Hernández
84,92,22,188,82,Germany,Chelsea,94500000.0,130000.0,Left,"CAM, CF, CM",K. Havertz
84,92,21,171,69,England,Manchester City,94500000.0,125000.0,Left,"CAM, LW, CM",P. Foden
83,83,36,179,67,Brazil,Manchester City,7000000.0,100000.0,Right,"CDM, CB",Fernandinho
83,83,32,177,77,Mexico,Los Angeles FC,29000000.0,17000.0,Left,"RW, LW, CAM",C. Vela
83,83,32,186,81,Belgium,Borussia Dortmund,24000000.0,72000.0,Right,"CDM, CM",A. Witsel
83,83,32,189,87,Spain,Villarreal CF,18000000.0,37000.0,Right,GK,Sergio Asenjo
83,83,32,190,86,Denmark,AC Milan,23500000.0,54000.0,Right,CB,S. Kjær
83,83,35,193,80,Bosnia and Herzegovina,Inter,15500000.0,105000.0,Right,ST,E. Džeko
83,83,32,190,94,Germany,Olympique Lyonnais,23500000.0,81000.0,Right,CB,J. Boateng
83,83,32,186,81,Belgium,,,,Right,CB,T. Alderweireld
83,83,31,178,77,Spain,Chelsea,25000000.0,125000.0,Right,"CB, RWB",Azpilicueta
83,83,32,183,80,Brazil,Al Ahli,28500000.0,61000.0,Right,"CM, CAM, CDM",Paulinho
83,83,28,170,66,Spain,Athletic Club de Bilbao,36500000.0,44000.0,Right,"CAM, RM, LM",Muniain
83,83,30,176,65,Spain,Real Betis Balompié,34500000.0,38000.0,Left,"CM, CDM, LM",Canales
83,83,31,192,83,Finland,Bayer 04 Leverkusen,19000000.0,55000.0,Right,GK,L. Hrádecký
83,83,30,180,80,Brazil,Juventus,31500000.0,95000.0,Left,"LB, LM",Alex Sandro
83,84,29,190,83,Germany,Arsenal,28000000.0,87000.0,Right,GK,B. Leno
83,83,30,189,83,Greece,Napoli,30000000.0,80000.0,Right,CB,K. Manolas
83,83,32,177,75,Armenia,Roma,29500000.0,82000.0,Right,"CF, RM, RW",H. Mkhitaryan
83,83,33,179,72,Colombia,Juventus,19000000.0,95000.0,Right,"RB, RM",J. Cuadrado
83,83,29,194,90,Cameroon,Liverpool,30500000.0,130000.0,Right,CB,J. Matip
83,83,30,196,92,Uruguay,Sporting CP,30000000.0,21000.0,Right,CB,S. Coates
83,83,33,192,88,Italy,Lazio,17500000.0,75000.0,Left,CB,F. Acerbi
83,83,30,175,74,Brazil,Everton,30500000.0,100000.0,Right,"CDM, CM",Allan
83,83,28,179,85,Germany,AS Monaco,37000000.0,83000.0,Left,"ST, CF",K. Volland
83,83,28,190,84,Spain,Juventus,37000000.0,84000.0,Right,ST,Morata
83,83,28,181,75,Argentina,Paris Saint-Germain,37000000.0,120000.0,Right,ST,M. Icardi
83,83,28,186,75,Italy,Roma,33000000.0,72000.0,Right,"LWB, LB, LM",L. Spinazzola
83,86,27,188,76,England,Manchester City,41000000.0,140000.0,Right,CB,J. Stones
83,83,29,199,76,England,Burnley,25000000.0,45000.0,Right,GK,N. Pope
83,83,30,188,81,Mexico,Wolverhampton Wanderers,35500000.0,120000.0,Right,ST,R. Jiménez
83,85,27,185,77,England,Everton,33000000.0,83000.0,Left,GK,J. Pickford
83,84,28,190,85,Germany,Chelsea,34500000.0,130000.0,Right,CB,A. Rüdiger
83,83,26,188,84,Argentina,Sevilla FC,39500000.0,46000.0,Right,"LW, RW",L. Ocampos
83,84,27,176,80,Croatia,Chelsea,41500000.0,135000.0,Right,"CM, CDM",M. Kovačić
83,83,28,185,77,Ghana,Arsenal,36500000.0,115000.0,Right,"CM, CDM",T. Partey
83,86,26,172,66,Spain,Valencia CF,43500000.0,48000.0,Left,"LB, LWB, LM",Gayà
83,86,25,171,66,France,Atlético de Madrid,48000000.0,71000.0,Left,"LM, CM, RM",T. Lemar
83,86,25,185,84,Denmark,Tottenham Hotspur,43500000.0,105000.0,Right,"CDM, CM",P. Højbjerg
83,86,26,171,70,Argentina,Atlético de Madrid,48000000.0,80000.0,Right,"ST, RM",Á. Correa
83,83,30,189,88,Colombia,Atalanta,35500000.0,77000.0,Right,ST,D. Zapata
83,83,30,177,73,Croatia,TSG Hoffenheim,35500000.0,59000.0,Right,"ST, CAM",A. Kramarić
83,86,24,175,69,Spain,RB Leipzig,46000000.0,77000.0,Left,"LWB, LM",Angeliño
83,86,25,184,79,France,FC Bayern München,44500000.0,85000.0,Left,"LB, CB",L. Hernández
83,86,25,182,76,Spain,Real Madrid CF,48000000.0,190000.0,Left,"RW, LW",Marco Asensio
83,83,28,197,84,Netherlands,VfL Wolfsburg,37000000.0,95000.0,Right,ST,W. Weghorst
83,83,26,183,76,Germany,Atalanta,36000000.0,65000.0,Left,"LWB, LB, LM",R. Gosens
83,87,25,189,83,Spain,Real Sociedad,50000000.0,47000.0,Left,CM,Merino
83,87,25,189,80,France,Paris Saint-Germain,45500000.0,90000.0,Left,CB,P. Kimpembe
83,86,26,180,73,France,Real Madrid CF,43500000.0,170000.0,Left,LB,F. Mendy
83,87,23,183,72,England,Manchester United,48500000.0,115000.0,Right,RB,A. Wan-Bissaka
83,83,29,177,75,Brazil,Grêmio,35500000.0,49000.0,Right,"CAM, RM",Ronaldo Cabrais
83,85,24,171,73,Brazil,Juventus,47000000.0,90000.0,Right,CM,Arthur
83,87,24,175,73,Brazil,Manchester City,52500000.0,150000.0,Right,ST,Gabriel Jesus
83,88,24,178,67,France,FC Barcelona,55000000.0,165000.0,Left,RW,O. Dembélé
83,89,22,178,70,England,Chelsea,58500000.0,120000.0,Right,"CAM, CM, RW",M. Mount
83,85,29,197,86,Senegal,Chelsea,30000000.0,105000.0,Right,GK,É. Mendy
83,91,23,175,70,Italy,Juventus,80500000.0,74000.0,Right,"RW, LW, RM",F. Chiesa
83,89,22,182,78,Uruguay,Real Madrid CF,58000000.0,160000.0,Right,CM,F. Valverde
83,89,22,181,75,France,Sevilla FC,53000000.0,33000.0,Right,CB,J. Koundé
83,91,21,181,72,Portugal,Atlético de Madrid,82000000.0,61000.0,Right,"CF, ST",João Félix
82,82,38,188,80,Portugal,FC Porto,5500000.0,14000.0,Right,CB,Pepe
82,82,35,190,82,Spain,Villarreal CF,8000000.0,30000.0,Right,CB,Raúl Albiol
82,82,36,190,83,Poland,West Ham United,3400000.0,43000.0,Right,GK,Ł. Fabiański
82,82,34,192,85,Italy,Genoa,5000000.0,20000.0,Right,GK,S. Sirigu
82,82,33,184,78,Croatia,Sevilla FC,18500000.0,39000.0,Right,CM,I. Rakitić
82,82,31,185,82,Wales,Real Madrid CF,25000000.0,170000.0,Left,"RM, RW",G. Bale
82,82,33,190,84,Portugal,Roma,10000000.0,51000.0,Left,GK,Rui Patrício
82,82,33,174,75,Argentina,Al Shabab,15000000.0,46000.0,Right,"CDM, CM",É. Banega
82,82,31,178,72,Bosnia and Herzegovina,Beşiktaş JK,25000000.0,155000.0,Right,CM,M. Pjanić
82,82,31,181,80,Spain,Athletic Club de Bilbao,22000000.0,35000.0,Left,LB,Yuri Berchiche
82,82,32,181,80,Germany,Borussia Mönchengladbach,24000000.0,41000.0,Right,"CAM, ST",L. Stindl
82,82,29,179,70,Brazil,Shanghai Port FC,30000000.0,38000.0,Right,"CAM, CM, LW",Oscar
82,82,30,189,88,Germany,Eintracht Frankfurt,20500000.0,31000.0,Right,GK,K. Trapp
82,82,29,172,68,Brazil,FC Barcelona,30000000.0,165000.0,Right,"CAM, LW, CM",Coutinho
